标题,链接,排名,反链数,简介
跨考考研网,/Html/site_kuakao.com.html,100962,1276,网站简介：跨考网是跨校跨专业考研专业品牌，为考生提供一站式考研辅导、考研培训服务，实时更新2018考研时间、考研大纲、复试分数线等信息，是大学生信赖的考研网站。...
天才教育网,/Html/site_edutt.com.html,56937,562,网站简介：    天才网（www.edutt.com）——致力于打造成为中国教育培训行业第一门户，将直接面向全国各大中城市开设分站，天才网将传统的招生活动转变成高信息化的招生模式，以促进大...
中国社会科学网,/Html/site_cssn.cn.html,15942,1202,网站简介：中国社会科学网以“中国哲学社会科学优秀成果的观点发布平台、全球学术资讯的权威集散地、中国学术走向世界的重要桥梁”为发展定位，致力于打造全球领先的学术门户网站。...
微信读书,/Html/site_weread.qq.com.html,9,0,网站简介：微信读书是基于微信关系链的官方阅读应用，同时支持iPhone和iPad两大终端平台，在提供极致阅读体验的同时，为用户推荐合适的书籍，并可查看微信好友的读书动态、与好友讨论...
清华大学,/site_www.tsinghua.edu.cn.html,565,3047,网站简介：清华大学官方网站，清华大学的前身是清华学堂，始建于1911年，曾是由美国退还的部分庚子赔款建立的留美预备学校。1912年，清华学堂更名为清华学校。1925年设立大学部，开始...
易教网,/Html/site_eduease.com.html,84044,858,"网站简介：易教网是专业北京家教网,全国连锁,家教行业领导品牌★十三年家教服务,二十万教员在线挑选★上门一对一家教,省时省力★师资包括在职重点中小学老师及名校大学生★提供小学、..."
可圈可点组卷网,/Html/site_cooco.net.cn.html,23275,36,"网站简介：初中 高中 物理 化学 数学 语文 英语 生物 历史 政治 地理 九门功课 组卷 ，测评，教案  ,试题 ,试卷..."
青岛大学,/Html/site_qdu.edu.cn.html,26449,1365,网站简介：青岛大学（Qingdao University），简称青大（QDU）是山东省与青岛市共同建设的重点综合性大学，其历史可以追溯到1909年开办的青岛特别高等专门学堂。1993年，原青岛大学、青...
中国石油大学,/Html/site_cup.edu.cn.html,15323,377,网站简介：中国石油大学是教育部直属全国重点大学，是国家“211工程”重点建设的高校，是建有研究生院的56所高校之一，也是国家重点支持开展“优势学科创新平台”建设的高校，是石油、...
帮考网,/Html/site_bkw.cn.html,46343,34,"网站简介：帮考网是中美教育控股集团下的一家专门从事教育培训的权威网站,主要为学员提供证券从业资格考试,证券从业资格考试基金销售从业资格考试,会计从业资格考试,期货从业资格考试..."
广西招生考试院,/Html/site_gxeea.cn.html,60818,333,网站简介：广西壮族自治区招生考试院（www.gxeea.cn）。...
事业单位考试网,/Html/site_zgsydw.com.html,37270,1834,网站简介：事业单位考试网提供2015年事业编招聘公告、事业编考试报名时间、事业编考试内容、事业单位考试用书、事业单位考试题库，事业单位招聘考试首选中公事业单位考试网。...
上海外国语大学,/Html/site_shisu.edu.cn.html,25054,364,网站简介：上海外国语大学是中国著名的高等外语学府，秉承“格高志远、学贯中外”的校训精神，已发展成一所培养涉外型、复合型外语人才的多科性、国际化、高水平特色大学，蜚声海内外...
恒星英语,/Html/site_hxen.com.html,123763,436,网站简介：恒星英语学习网致力于打造中国英语学习互助，英语资源分享网站。包含英语听力，英语口语，英语四级，英语六级，英语翻译，新概念等免费英语学习内容下载。...
浙江大学,/site_www.zju.edu.cn.html,927,966,网站简介：浙江大学官方网站，浙江大学位于“人间天堂”杭州、美丽的西子湖畔，是一所具有百年历史底蕴的教育部直属全国重点大学，是中国首批7所“211工程”、首批9所“985工程”、“...
在线英语听力室,/Html/site_tingroom.com.html,35596,2422,网站简介：在线英语听力室：在线听力、英语听力教程、英语学习、MP3听力下载、英语听力下载、新概念、VOA，四六级英语考试听力等大量英语听力教程。...
华语网,/Html/site_thn21.com.html,31652,13,"网站简介：华语网是由24位语文老师倾力打造的语文教育站点,提供汉语基础知识,高中语文,初中语文,小学语文教案,试题,中考高考作文,中小学语文同步课程辅导...."
中华讲师网,/Html/site_jiangshi.org.html,117905,1968,网站简介：杭州万师通教育科技有限公司旗下网站，中华讲师网（www.jiangshi.org）2008年3月上线，由互联网专家翁建江创办，总部设在“中国电子商务之都”杭州，百度“讲师”，“培训讲...
长江大学,/Html/site_yangtzeu.edu.cn.html,46594,903,网站简介：长江大学是湖北省属高校中规模大、学科门类较全的综合性大学。...
牛客网,/Html/site_nowcoder.com.html,1119,15,网站简介：牛客网是一个面向IT程序员的专业笔试、面试题库平台，专注于程序员的学习和成长服务。北京牛客科技有限公司旗下产品。...
星火作文网,/Html/site_easyzw.com.html,135277,97,网站简介：星火作文网是一个包含小学生作文、周记大全、日记大全的优秀作文大全网站，是集发表原创稿件和作文参照为一体的小学、初中学生的网上交流平台。...
中文百科,/Html/site_zwbk.org.html,100281,310,"网站简介：特大型开放互动式网络百科全书,科学系统的学科分类与开放式分类相结合,多目录交互式检索系统,简便快捷的wiki平台,人人皆可参与,创建知识文明,服务于全人类..."
江西人事考试网,/Html/site_jxpta.com.html,32246,419,网站简介：江西省人事考试中心系江西省人力资源和社会保障厅直属正处级事业单位。主要承担全国及全省专业技术人员资格考试，国家及全省公务员录用考试，省直事业单位招聘考试、全国计...
蒲城教育网,/Html/site_puchedu.cn.html,72372,1,网站简介：蒲城县教育局官方网站...
新浪教育,/site_edu.sina.com.cn.html,27,3218,网站简介：新浪教育考试频道是一个专业的教育考试服务网络平台，主要提供小升初、中考、高考、考研、自考、成考、公务员考试、英语四六级考试、托福、雅思、司法考试、会计考试等各类...
中公网校,/Html/site_eoffcn.com.html,16801,4165,"网站简介：【中公网校】中公教育旗下远程教育平台,提供各地方、国家公务员考试培训、辅导，公务员考试题库,公务员考试大纲,公告,职位表等信息资讯.以及事业单位考试，金融银行考试，教..."
中国在职研究生招生信息网,/Html/site_eduego.com.html,75381,620,网站简介：中国在职研究生招生信息网是以报考在职研究生为主题的官方网站，主要提供在职硕士、在职博士、mba、emba等类别的在职研究生招生简章、报考条件、报名时间、报名入口等招生信...
燕山大学,/Html/site_ysu.edu.cn.html,11539,342,网站简介：燕山大学源于哈尔滨工业大学，始建于1920年。1958年哈尔滨工业大学重型机械系及相关专业成建制迁至工业重镇齐齐哈尔市富拉尔基区，组建了哈尔滨工业大学重型机械学院。1960...
武汉大学,/site_www.whu.edu.cn.html,2596,822,网站简介：武汉大学官方网站，武汉大学是国家教育部直属重点综合性大学，是国家“985工程”和“211工程”重点建设高校。...
广联达服务新干线,/Html/site_fwxgx.com.html,10691,161,网站简介：广联达服务新干线为造价用户提供 造价软件下载 预算软件下载 造价法规 建筑图集 建筑标准规范 材料价格查询 造价问答 工程造价 服务...
雅昌艺术网,/Html/site_artron.net.html,35434,2369,网站简介：雅昌艺术网是世界知名的中国艺术品权威门户网站，是雅昌《中国艺术品数据库》的重要应用平台，涵盖字画拍卖，艺术品投资，画廊古董古玩交易信息等，是中国信誉服务专业收藏...
传智播客,/Html/site_itcast.cn.html,15754,753,"网站简介：传智播客（www.itcast.cn）聚集众多java培训,net培训,php培训,网页培训大师|先就业后还款！..."
批改网,/Html/site_pigai.org.html,6818,27,网站简介：批改网(www.pigai.org)是北京词网科技有限公司旗下网站。...
北京外国语大学,/Html/site_bfsu.edu.cn.html,19329,662,网站简介：北京外国语大学是教育部直属、国家首批“211工程”建设的全国重点大学之一，是目前我国高等院校中历史悠久、教授语种多、办学层次齐全的外国语大学。大学目前已基本形成了以...
建设工程教育网,/Html/site_jianshe99.com.html,24764,1807,"网站简介：建设工程教育网（www.jianshe99.com）,是著名的建筑工程行业职业资格考试辅导网络培训网站,汇聚名师精心打造一级/二级建造师/监理工程师/造价工程师/经纪人考试网上辅导课程..."
国家公务员考试网,/Html/site_chinagwy.org.html,15230,1474,网站简介：南京学宝教育科技有限公司旗下网站...
中国美术高考网,/Html/site_51meishu.com.html,1366773,587,网站简介：中国美术高考网www.51meishu.com，2015年美术高考网提供2015年艺术类招生简章、美术高考培训班、北京美术培训班、美术高考成绩查询和优秀试券，中国美术高考网立足北京，无...
学易网校,/Html/site_studyez.com.html,27822,1413,网站简介：学易网校是国内领先的在线学习远程教育平台。权威名师打造优质考试辅导服务，已开设财会、司法考试、工程、医学、公务员、考研、外语、外贸、中小学等数百门在线课程。...
